plate,cell_line,cell_age,well,wavelength,probe name,dot value,fish segmetation path,file
5500000007,CAAX,18,B04,488,BMPER,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_488_0.04/5500000007_40X_20181010_2-Scene-13-P22-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-13-P22-B04.czi
5500000007,CAAX,18,B04,638,CNTN5,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_638_0.04/5500000007_40X_20181010_2-Scene-13-P22-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-13-P22-B04.czi
5500000007,CAAX,18,B04,488,BMPER,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_488_0.04/5500000007_40X_20181010_2-Scene-14-P21-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-14-P21-B04.czi
5500000007,CAAX,18,B04,638,CNTN5,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_638_0.04/5500000007_40X_20181010_2-Scene-14-P21-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-14-P21-B04.czi
5500000007,CAAX,18,B04,488,BMPER,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_488_0.04/5500000007_40X_20181010_2-Scene-16-P23-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-16-P23-B04.czi
5500000007,CAAX,18,B04,638,CNTN5,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_638_0.04/5500000007_40X_20181010_2-Scene-16-P23-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-16-P23-B04.czi
5500000007,CAAX,18,B04,488,BMPER,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_488_0.04/5500000007_40X_20181010_2-Scene-17-P27-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-17-P27-B04.czi
5500000007,CAAX,18,B04,638,CNTN5,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_638_0.04/5500000007_40X_20181010_2-Scene-17-P27-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-17-P27-B04.czi
5500000007,CAAX,18,B04,488,BMPER,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_488_0.04/5500000007_40X_20181010_2-Scene-18-P26-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-18-P26-B04.czi
5500000007,CAAX,18,B04,638,CNTN5,0.04,/allen/aics/microscopy/Data/fish/mip_with_seg/5500000007_CAAX/out_638_0.04/5500000007_40X_20181010_2-Scene-18-P26-B04.czi.ome_struct_segmentation.tiff,/allen/aics/microscopy/Data/RnD_Sandbox/5500000007/ZSD2/40X_zstack/5500000007_40X_20181010_2-Scene-18-P26-B04.czi
